,mae_初始,mae_改进,better
135,0.8267617559999999,0.820064263,-0.006697492999999888
58,0.949581802,0.967613825,0.018032023000000064
534,0.45598649,0.40599277799999994,-0.04999371200000008
307,0.77439349,0.7887111459999999,0.014317655999999901
325,0.723249039,0.731113903,0.007864863999999971
435,0.284377426,0.400539796,0.11616237000000001
295,1.186506565,1.43418095,0.24767438500000005
44,0.8748284,0.8572781999999999,-0.01755020000000007
453,0.584019693,0.59001343,0.0059937369999999435
562,0.530282934,0.528588122,-0.00169481199999999
73,0.959879665,0.8845081640000001,-0.0753715009999999
348,0.315706174,0.28728000000000004,-0.02842617399999997
560,0.470551756,0.44985206299999997,-0.02069969300000002
282,0.6975659670000001,0.660983753,-0.03658221400000006
84,0.675719045,0.627151273,-0.048567772000000065
314,0.620433628,0.542483394,-0.07795023400000001
511,0.359558504,0.379731505,0.020173001000000024
6,0.588565722,0.604120074,0.015554351999999994
509,0.457253786,0.427940881,-0.029312905
186,0.46772296,0.43507023899999997,-0.03265272100000005
469,0.528923164,0.516138201,-0.012784962999999983
188,0.499107895,0.597036229,0.09792833399999995
165,0.612192913,0.6010192520000001,-0.011173660999999946
185,0.7318372940000001,0.6463026129999999,-0.08553468100000017
445,0.838027656,0.9173072609999999,0.07927960499999998
332,0.39855247200000005,0.370906768,-0.02764570400000005
577,0.654183074,0.699886997,0.045703923000000035
181,0.8867063359999999,0.838858575,-0.04784776099999988
309,0.668829704,0.626370442,-0.04245926199999994
200,0.5699227020000001,0.5309706989999999,-0.038952003000000124
163,0.45010355399999996,0.33969416700000005,-0.11040938699999991
191,1.047376399,0.880837015,-0.166539384
205,0.53501531,0.5806538760000001,0.04563856600000005
76,1.215571975,1.0603548740000002,-0.15521710099999986
501,0.43386389,0.391670996,-0.04219289399999998
292,0.701759543,0.687474158,-0.014285384999999984
202,0.521607335,0.548800986,0.02719365100000004
68,0.681037021,0.678268533,-0.002768487999999958
559,0.49847387299999996,0.503360144,0.004886270999999998
481,1.021529429,1.04178542,0.020255990999999973
102,0.357200219,0.438993404,0.08179318499999999
263,0.446451661,0.376712769,-0.069738892
273,1.0321027,0.7911092409999999,-0.24099345900000013
365,0.898443835,0.798252211,-0.10019162400000003
178,0.358713357,0.368440835,0.009727478000000012
74,0.534096771,0.498434782,-0.03566198899999995
510,0.580892608,0.543867041,-0.037025566999999926
570,0.447172041,0.453521361,0.006349319999999992
137,0.6587652589999999,0.6132485320000001,-0.04551672699999987
235,0.43503451,0.355340912,-0.07969359799999998
466,0.7062851809999999,0.636782079,-0.06950310199999998
182,0.7236034659999999,0.653359184,-0.07024428199999988
301,1.323816497,1.254846665,-0.06896983199999984
525,0.49515752700000004,0.519368221,0.024210693999999977
438,0.659101284,0.6635145610000001,0.004413277000000049
395,0.5107316679999999,0.282070404,-0.22866126399999992
168,0.242155166,0.258561365,0.016406198999999982
341,0.338090646,0.25154855800000003,-0.08654208799999996
256,0.715214081,0.703455053,-0.01175902799999995
100,0.620555339,0.548115525,-0.07243981399999999
104,0.491183699,0.4937358,0.002552101000000029
596,0.45179587600000004,0.45078584200000005,-0.001010033999999993
339,0.58503113,0.617902235,0.03287110500000001
18,0.43196229700000005,0.426548372,-0.005413925000000042
506,1.331636627,1.198482313,-0.133154314
113,0.818373348,0.79523177,-0.02314157799999994
279,0.584541767,0.567604856,-0.016936911000000054
160,1.286634268,1.1436768529999999,-0.14295741500000014
221,0.459830711,0.47528925,0.015458538999999993
373,1.121738798,1.005950664,-0.11578813399999999
372,0.687108487,0.8531839640000001,0.16607547700000003
430,1.004005225,1.000704432,-0.0033007929999999686
